blum@lasall.edu,1,0,0,0,0,0
mccoey@lasalle.edu,0,0,0,0,0,0
smith@lasalle.edu,1,0,0,1,0,0
jones@lasalle.edu,1,0,0,0,1,0
adams@lasalle.edu,0,0,0,0,0,0
joseph@lasalle.edu,0,0,0,0,0,0
torres@lasalle.edu,1,0,0,0,0,0
sanders@lasalle.edu,0,0,0,0,0,0
mcrib@lasalle.edu,0,0,0,0,0,0
bach@lasalle.edu,0,0,0,0,0,0
mozart@lasalle.edu,0,0,0,0,0,0
beethoven@lasalle.edu,0,1,0,0,0,0
chopin@lasalle.edu,1,0,0,0,1,0
brahms@lasalle.edu,1,0,0,0,0,0
tchaikovsky@lasalle.edu,0,0,0,0,0,0
satie@lasalle.edu,1,0,1,0,0,0
handel@lasalle.edu,1,0,0,0,0,0
debussy@lasalle.edu,0,0,0,0,0,1
vivaldi@lasalle.edu,1,0,0,0,0,0
schubert@lasalle.edu,0,0,0,0,0,0
